image_path,label,species,split,is_augmented
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_103.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_112.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_113.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_115.png,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_116.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_121.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_122.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_133.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_134.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_138.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_141.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_144.jpg,test_split,fish,train,False
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_146.jpg,test_split,fish,train,False
