filepath,relative_path,species,class_name,file_ext,file_size_kb,width,height,aspect_ratio,color_mode
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_0_BG-39-img-3.jpg,Augmented_shrimp\BG\aug_0_BG-39-img-3.jpg,shrimp,BG,.jpg,11.1728515625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_100_BG-48-img-2.jpg,Augmented_shrimp\BG\aug_100_BG-48-img-2.jpg,shrimp,BG,.jpg,9.50390625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_101_BG-11-img-1.jpg,Augmented_shrimp\BG\aug_101_BG-11-img-1.jpg,shrimp,BG,.jpg,12.53515625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_102_BG-57-img-1.jpg,Augmented_shrimp\BG\aug_102_BG-57-img-1.jpg,shrimp,BG,.jpg,11.7509765625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_103_BG-48-img-1.jpg,Augmented_shrimp\BG\aug_103_BG-48-img-1.jpg,shrimp,BG,.jpg,9.509765625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_104_BG-54-img-3.jpg,Augmented_shrimp\BG\aug_104_BG-54-img-3.jpg,shrimp,BG,.jpg,11.087890625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_105_BG-20-img-2.jpg,Augmented_shrimp\BG\aug_105_BG-20-img-2.jpg,shrimp,BG,.jpg,10.7509765625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_106_BG-59-img-2.jpg,Augmented_shrimp\BG\aug_106_BG-59-img-2.jpg,shrimp,BG,.jpg,10.7431640625,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_107_BG-61-img-2.jpg,Augmented_shrimp\BG\aug_107_BG-61-img-2.jpg,shrimp,BG,.jpg,9.1279296875,256,256,1.0,RGB
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_108_BG-17-img-1.jpg,Augmented_shrimp\BG\aug_108_BG-17-img-1.jpg,shrimp,BG,.jpg,7.353515625,256,256,1.0,RGB
